Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2020-09-30,10.0,11.41,9.11,9.5,338584400.0,,,,2.3,,,,0.5,,,,,,,,,,,0
2020-10-01,9.69,10.1,9.23,9.46,124297600.0,9.5,,,0.87,2.3,,,0.23,0.5,,,338584400.0,,,9.5,9.5,9.5,-0.00421941151025875,0
2020-10-02,9.06,9.28,8.94,9.2,55018300.0,9.46,9.5,,0.34,0.87,2.3,,-0.14,0.23,0.5,,124297600.0,338584400.0,,9.473,9.477,9.478,-0.02786892377329243,0
2020-10-05,9.43,9.49,8.92,9.03,36316900.0,9.2,9.46,9.5,0.57,0.34,0.87,2.3,0.4,-0.14,0.23,0.5,55018300.0,124297600.0,338584400.0,9.317,9.351,9.369,-0.01865112546534712,0
2020-10-06,9.04,10.18,8.9,9.9,90864000.0,9.03,9.2,9.46,1.28,0.57,0.34,0.87,-0.86,0.4,-0.14,0.23,36316900.0,55018300.0,124297600.0,9.164,9.226,9.261,0.09198238075065097,1
2020-10-07,10.04,10.49,9.99,10.0,54672400.0,9.9,9.03,9.2,0.5,1.28,0.57,0.34,0.04,-0.86,0.4,-0.14,90864000.0,36316900.0,55018300.0,9.544,9.466,9.437,0.010050374385797877,1
2020-10-08,10.29,10.4,9.99,10.0,34989200.0,10.0,9.9,9.03,0.41,0.5,1.28,0.57,0.29,0.04,-0.86,0.4,54672400.0,90864000.0,36316900.0,9.776,9.645,9.575,0.0,0
2020-10-09,10.13,10.19,9.89,9.95,19653500.0,10.0,10.0,9.9,0.3,0.41,0.5,1.28,0.18,0.29,0.04,-0.86,34989200.0,54672400.0,90864000.0,9.889,9.759,9.671,-0.005012560992877481,0
2020-10-12,10.04,10.05,9.66,9.89,20623600.0,9.95,10.0,10.0,0.39,0.3,0.41,0.5,0.15,0.18,0.29,0.04,19653500.0,34989200.0,54672400.0,9.919,9.818,9.731,-0.006048351652417247,0
2020-10-13,9.88,9.88,9.41,9.47,21847200.0,9.89,9.95,10.0,0.47,0.39,0.3,0.41,0.41,0.15,0.18,0.29,20623600.0,19653500.0,34989200.0,9.905,9.84,9.763,-0.043395244953424617,0
